马匹名称,出生地 / 馬齡,毛色 / 性別,進口類別,今季獎金*,總獎金*,冠-亞-季-總出賽次數*,最近十個賽馬日出賽場數,現在位置(到達日期),進口日期,練馬師,馬主,現時評分,季初評分,父系,母系,外祖父,同父系馬,自購馬來港前賽事片段
威威父子,紐西蘭 / 5,棗 / 閹,自購馬,$0,"$23,400",0-0-0-13,1,香港(31/10/2024),08/05/2023,賀賢,潘可榮與潘自強,44,46,Press Statement,Max It Out,Northern Meteor,華麗再勝一生好彩金鑽八十萬事得意金多令著迷競駿先鋒,
果然僥倖,澳洲 / 5,棗 / 閹,自購新馬,"$23,400","$1,130,400",1-1-1-15,2,從化(08/11/2024),07/11/2022,廖康銘,林福特,43,48,Vancouver,Gem Of Gems,Peintre Celebre,樂威煌鴻圖新星妙算高歌萬事快,
電路豪傑,紐西蘭 / 4,棗 / 閹,自購新馬,$0,$0,0-0-0-5,1,從化(16/10/2024),25/01/2024,沈集成,張根棠,43,46,Deep Field,Flying Therese,Flying Spur,旺旺昇叻魅影獵飛好瑪威威熾烈神駒驍勇者加州得力加州代表加州德至龍之光川河帥駒南區旺電路七號勇者無敵花好月盈瑤瑤日上勇威神駒鑽飾翱翔快樂老撾吉祥寶對衡之星安都隼閣川河型駒威武良駒金玉良言華麗活力逍遙人生千杯敬典火神神樂嫡愛心超級龍珠春風萬里K216K236K263K271K292八駿高昇一石二鳥盛載富祿幸運旅程智智多寶加飯綠族無限貓山王魅力一心包裝伯樂勝萬金綠水青山機械騎士時間寶自強不息深心星揚威四方海綿寶寶川河動駒星光快驅糖不甩飛躍精英真好運旺旺神駒添喜運中華盛景赤壁銳高爆笑遨遊氣泡紅錢到怡昌奇兵優悠俠,
綫路光驊,紐西蘭 / 5,棕 / 閹,國際拍賣會新馬,"$157,950","$157,950",0-0-1-6,1,香港(09/11/2024),01/07/2023,文家良,張根棠,43,46,Per Incanto,Amanjena,Smart Missile,有財有勢友瑩仁水晶酒杯天火同心獎星顏色王子完美演繹龍騰飛翔金運來仁仁之寶添開心我為您K219K297幸運芙蓉仁仁有餘心雄雄問鼎巔峰精算暴雪彩虹七色世界籐王威武寶寶陸知質數聯歡兒大浪園田木火同明,
魔法速遞,紐西蘭 / 5,棗 / 閹,自購新馬,"$157,950","$1,344,100",2-0-1-15,2,香港(10/10/2024),19/12/2022,黎昭昇,陳永錕先生及夫人,43,46,Savabeel,Karla Bruni,Pins,鬥志波小飛俠架勢奇爸獨角獸帥帥友福大千氣象齊歡最樂包裝福將勁好運,
凱旋幸運,澳洲 / 5,棗 / 閹,自購新馬,"$245,700","$403,650",0-1-1-8,2,香港(30/05/2024),08/05/2023,賀賢,王偉洲、劉紀正與廖嘉恆,43,41,Nicconi,Rhandara,Redoute's Choice,無限勝利鄉村樂韻新力高升巴閉哥,
風起雲湧,澳洲 / 4,棗 / 閹,自購新馬,"$245,700","$245,700",0-1-0-5,2,香港(09/10/2023),09/10/2023,蘇偉賢,戴銘堃,43,45,Shooting To Win,High Class,Shocking,喜報圍家超加加大千眼界騰龍四海健康心靈風繼續吹健康快車心福有鴻利綠色好威金榜之星耀昌勝世,
瀧澤飛駒,紐西蘭 / 5,棗 / 閹,自購馬,"$630,400","$1,353,800",2-1-0-20,1,香港(29/08/2023),20/02/2023,告東尼,陳緯國、嚴偉豪與吳家偉,43,37,Ocean Park,Pastrana,Fastnet Rock,九秒九,
齊歡最樂,紐西蘭 / 4,棕 / 閹,自購新馬,"$81,900","$81,900",0-0-0-5,2,香港(07/10/2024),09/10/2023,伍鵬志,會友團體,43,50,Savabeel,Candelabra,Pins,鬥志波魔法速遞小飛俠架勢奇爸獨角獸帥帥友福大千氣象包裝福將勁好運,
手機錶皇,法國 / 4,栗 / 閹,國際拍賣會新馬,$0,$0,0-0-0-3,0,從化(08/11/2024),01/07/2023,文家良,楊潔明,43,43,Showcasing,Sailor Moon,Tiger Hill,飛躍凱旋新躍飛,
儀琪之寶,紐西蘭 / 5,棗 / 閹,自購新馬,"$40,950","$356,850",0-1-0-9,1,從化(13/11/2024),20/02/2023,廖康銘,蘇婉儀,43,48,Impending,Lisboa,Van Nistelrooy,四喜鳥K287星運少爵,
