馬匹,日期,場,班次,路程,場地,分,配備,磅,排位重,騎,練,檔,走位,名,距離,時間,冠,亚,季,頭馬,賠
上校,10/16/24,106,4 60-40,谷夜 BC 1200,好快,47,B,123,1184,聲,廖,7,- 1 1,1,1/2,1.09.59,▲,納百川,金運來,1.09.59,13
得意佳作,10/16/24,105,4 60-40,谷夜 BC 1650,好地,52,T,129,1083,紹,姚,1,3 3 3,1,3/4,1.39.68,▲,領創動力,獎星,1.39.68,8.2
生生勝利,10/16/24,104,4 60-40,谷夜 BC 1000,好地,45,H1T,121,1142,聲,姚,7,- 1 1,1,3/4,0.57.09,▲,威武寶寶,銀刺勇士,0.57.09,29
木火龍駒,10/16/24,103,5 40-0,谷夜 BC 1200,好地,32,SWT,128,1030,澤,鄭,7,- 2 2,1,頸,1.10.12,▲,電子精彩,朗日雪峰,1.10.12,8.3
氣勢,10/13/24,102,2 100-80,田日 A 1200,好快,88,,124,1218,潘,蔡,1,- 2 2,1,頸,1.08.29,▲,天天同樂,華麗再勝,1.08.29,1.9
鑽石星空,10/13/24,101,3 80-60,田日 A 1400,好快,73,H,128,1186,田,徐,3,1 3 3,1,1/2,1.21.71,▲,還看今朝,駿奕快車,1.21.71,2.8
紫荊歡呼,10/13/24,100,4 60-40,田日 A 1400,好快,60,SWT,135,1177,布,希,5,9 10 9,1,頸,1.21.62,▲,快活英雄,騰龍四海,1.21.62,3.6
錶之銀河,10/13/24,99,G2,田日 A 1600,好快,119,,129,1155,澤,伍,2,8 8 5,1,1 1/2,1.33.49,▲,遨遊氣泡,禪勝輝煌,1.33.49,2.1
共享富裕,10/13/24,98,4 60-40,田日 A 1600,好快,58,T,133,1020,布,柏,8,11 10 10,1,3/4,1.34.27,▲,金獅勝將,加州動員,1.34.27,2.6
佳運發,10/13/24,97,4 60-40,田日 A 1200,好快,60,T,125,1162,妮,希,10,- 2 1,1,2 1/4,1.08.89,▲,勇冠群英,富國兄弟,1.08.89,5.7
喜報圍家,10/13/24,96,5 40-0,田日 A 1400,好快,34,V,127,1135,潘,賀,2,11 9 9,1,短頭,1.22.09,▲,精明選擇,智勝龍,1.22.09,3.4
又龍串鳳,10/13/24,95,3 85-60,田日 A 2000,好快,77,T,127,1044,艾,東,3,3 3 5,1,短頭,2.01.44,▲,十八掌門,非惟僥倖,2.01.44,15
耀寶,10/13/24,94,3 80-60,田日 A 1200,好快,64,X1T1,122,1104,潘,羅,2,- 6 6,1,3/4,1.08.58,▲,旭日昇,風生水起,1.08.58,3.4
錶之宇宙,10/13/24,93,4 60-40,田日 A 1200,好快,58,B,132,1240,聲,文,8,- 10 10,1,短頭,1.09.43,▲,至尊高超,?路盈樂,1.09.43,2.7
飲杯,10/09/24,92,3 80-60,谷夜 A 1200,好地,61,BT,117,1168,田,希,1,- 3 3,1,1 3/4,1.09.94,▲,精選威,撼天鐵翼,1.09.94,2.3
我做到,10/09/24,91,3 80-60,谷夜 A 1650,好地,62,HT,119,1084,禮,伍,2,4 5 5,1,頭,1.40.12,▲,久久為攻,黑桃火箭,1.40.12,2.6
駿步騰飛,10/09/24,90,4 60-40,谷夜 A 1200,好地,59,X-B1T1,135,1038,潘,游,3,- 9 9,1,1 1/4,1.10.12,▲,五福星,你知我得,1.10.12,3.1
耀寶駒,10/09/24,89,4 60-40,谷夜 A 1200,好地,55,BT,131,1104,布,黎,4,- 5 5,1,短頭,1.10.49,▲,智勝攻略,開心樂園,1.10.49,4.2
晨曦儷人,10/09/24,88,4 60-40,谷夜 A 1200,好地,53,SWT,128,1168,潘,伍,8,- 2 2,1,4 1/4,1.10.00,▲,皇帝英明,怡昌精神,1.10.00,2.3
勁好運,10/09/24,87,4 60-40,谷夜 A 1650,好地,50,T,127,1085,潘,羅,1,4 4 3,1,5 3/4,1.39.60,▲,盈益善,武林至尊,1.39.60,1.4
飛躍凱旋,10/09/24,86,5 40-0,谷夜 A 1000,好地,24,BT,119,1212,班,韋,3,- 7 7,1,1,0.57.51,▲,連連勝利,勝萬金,0.57.51,9.5
喜勝威龍,10/09/24,85,5 40-0,谷夜 A 1650,好地,37,BT,124,1117,弘,希,7,2 2 2,1,頭,1.41.92,▲,架勢奇爸,贏科超影,1.41.92,7.7
知足常樂,10/06/24,84,2 100-75,泥日  1650,好泥,96,SW,131,1127,梁,羅,6,3 3 3,1,3 3/4,1.37.94,▲,魅影獵飛,都靈福星,1.37.94,14
愛馬善,10/06/24,83,3 80-60,田日 A 1200,好快,66,BH,125,1122,田,鄭,7,- 2 2,1,短頭,1.08.83,▲,步大威猛,開心寶寶,1.08.83,6.6
信心星,10/06/24,82,4 60-40,田日 A 1400,好快,56,B-HT,132,1176,布,柏,9,3 3 2,1,1 3/4,1.21.75,▲,幸運芙蓉,糖不甩,1.21.75,3.1
大老撾,10/06/24,81,3 80-60,田日 A 1000,好快,69,HT,125,1193,紹,巫,4,- 1 1,1,短頭,0.56.43,▲,寰宇豐采,舉步生風,0.56.43,15
友瑩仁,10/06/24,80,4 60-40,田日 A 1400,好快,58,NT,134,1078,潘,伍,2,1 1 1,1,頸,1.21.85,▲,但求開心,冠寶駒,1.21.85,2.4
運高八斗,10/06/24,79,4 60-40,田日 A 1200,好快,59,,133,1135,周,姚,3,- 4 4,1,2,1.09.14,▲,天天耍樂,太陽昇,1.09.14,3.7
八仟財陞,10/06/24,78,4 60-40,田日 A 1000,好快,52,SW1,129,1055,梁,羅,6,- 7 5,1,1,0.57.17,▲,辣得金,精彩勇士,0.57.17,10
年年友福,10/06/24,77,4 60-40,泥日  1650,好泥,47,B,123,1183,湯,鄭,9,8 8 6,1,3/4,1.39.70,▲,客家之光,歡喜福星,1.39.70,6.1
競駿天下,10/06/24,76,5 40-0,田日 A 1400,好快,40,SW,130,1161,潘,希,8,6 6 5,1,3/4,1.22.47,▲,精明選擇,飛躍精英,1.22.47,2.1
富喜來,10/06/24,75,5 40-0,田日 A 1800,好快,39,B2T,134,1083,布,沈,2,7 9 7,1,3,1.47.49,▲,果然得,永勝金駒,1.47.49,2.6
金勝名駒,10/01/24,74,3 80-60,田日 C 1400,好快,65,HT,121,1047,董,賢,11,12 12 13,1,1/2,1.21.95,▲,壯志凌雲,魯班精神,1.21.95,4.9
包裝猛將,10/01/24,73,3 80-60,田日 C 1200,好快,71,T,128,1142,潘,沈,10,- 2 2,1,1,1.09.44,▲,輝煌精英,祝願,1.09.44,2.5
飛鷹翱翔,10/01/24,72,2 100-80,田日 C 1400,好快,89,,125,1107,禮,伍,3,1 1 1,1,頭,1.21.41,▲,手機錶霸,陽光勇士,1.21.41,21
美麗第一,10/01/24,71,G3,田日 C 1000,好快,93,ET,115,1169,度,伍,4,- 5 4,1,1/2,0.55.72,▲,魔術控制,狀元及第,0.55.72,2.2
國大合,10/01/24,70,4 60-40,田日 C 1800,好快,41,B,118,1054,森,廖,3,6 6 4,1,3/4,1.47.74,▲,一支箭,慶萬家,1.47.74,12
觀天下,10/01/24,69,4 60-40,田日 C 1400,好快,49,T1,120,1093,潘,葉,11,7 8 8,1,1/2,1.21.96,▲,連連歡呼,元朗精英,1.21.96,9.1
增強,10/01/24,68,4 60-40,田日 C 1200,好快,53,,133,1183,布,賀,10,- 11 7,1,頸,1.09.33,▲,手錶之星,?路光驊,1.09.33,1.6
好精神,10/01/24,67,4 60-40,田日 C 1200,好快,45,,121,1084,明,葉,2,- 6 6,1,頸,1.09.08,▲,帥帥友福,城中勇士,1.09.08,2.8
威力飛彈,10/01/24,66,5 40-0,田日 C 1200,好快,34,,125,1213,周,鄭,8,- 4 4,1,2 1/4,1.09.65,▲,洪運派彩,烈火駿馬,1.09.65,15
星運皇爵,10/01/24,65,5 40-0,田日 C 1400,好快,35,H-N,128,1093,布,柏,7,8 8 6,1,1/2,1.22.08,▲,欣樂人生,無敵精英,1.22.08,6.1
盈妍威楓,09/28/24,64,3 80-60,田日 C 1400,好地,69,B,128,1100,潘,伍,12,3 2 2,1,頸,1.22.03,▲,風繼續吹,非凡之星,1.22.03,3.7
和平波,09/28/24,63,3 80-60,田日 C 1600,好地,65,SW1,121,1064,紹,巫,5,2 3 3,1,頸,1.34.28,▲,遨遊武士,將義,1.34.28,14
