馬匹,日期,場,班次,路程,場地,分,配備,磅,排位重,騎,練,檔,走位,名,距離,時間,冠,亚,季,頭馬,賠
得賞,10/24/21,115,5 40-0,田日 C 1400,好快,31,,124,1033,年,葉,5,6 8 8,3,2 3/4,1.22.87,進優自在,劍在九天,▲,1.22.43,17
桃花盛,10/24/21,114,4 60-40,田日 C 1200,好快,54,HT,129,1233,田,東,1,- 5 5,3,1/2,1.09.24,好拍檔,紅鬃烈馬,▲,1.09.16,3.3
太陽拍檔,10/24/21,113,4 60-40,田日 C 1000,好快,52,,127,1213,班,姚,9,- 5 6,3,4,0.57.01,連連有盈,不可擋,▲,0.56.37,57
協進神駒,10/20/21,112,3 80-60,谷夜 C3 1650,好快,70,SW-X,127,1093,班,韋,2,4 4 4,3,1,1.38.93,俏芳華,百勝名駒,▲,1.38.76,12
木火同明,10/20/21,111,3 80-60,谷夜 C3 1200,好快,63,VHT,119,1087,田,何,2,- 6 6,3,1 1/4,1.09.32,閃耀榮光,齊齊友福,▲,1.09.10,4.8
你知我勝,10/20/21,110,4 60-40,谷夜 C3 1200,好快,58,B,133,1138,紹,姚,12,- 1 1,3,2 1/4,1.09.72,友心友型,大醇威,▲,1.09.37,9.4
胡椒軍曹,10/20/21,109,3 80-60,谷夜 C3 1000,好快,64,,120,1118,田,徐,3,- 3 4,3,1 1/4,0.56.92,人和家興,天火同人,▲,0.56.70,9.5
赤馬雄風,10/20/21,108,4 60-40,谷夜 C3 1650,好快,55,BT,128,1208,潘,希,2,2 1 1,3,1 1/2,1.39.88,皆大開心,忠誠駒,▲,1.39.63,2.3
種福者,10/20/21,107,4 60-40,谷夜 C3 1200,好快,53,,127,1170,度,文,5,- 1 1,3,2 3/4,1.09.92,浪漫勇士,銘記知心,▲,1.09.48,3.4
蟲草之凰,10/20/21,106,4 60-40,谷夜 C3 1200,好快,43,H,117,1090,馬,呂,12,- 9 9,3,2,1.09.92,大家開心,齊心同行,▲,1.09.63,99
愛逍遙,10/20/21,105,5 40-0,谷夜 C3 1650,好快,22,B2,114,1051,楠,徐,6,2 3 3,3,1,1.39.35,爆谷,綠續爆發,▲,1.39.17,9.8
